S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
192,MoppFoods,Food and Beverage,Delhi,Delhi,75,3333.333333,1,1,75,
193,Econiture,Green/CleanTech,Amaravati,Maharashtra,50,625,0,,,
194,Dobiee,Food and Beverage,Shinde,Maharashtra,72,3600,1,1,72,
195,FastBeetle,Business Services,Srinagar,Jammu & Kashmir,90,3000,1,1,90,
196,Pflow,Medical/Health,Dhule,Maharashtra,60,6000,1,1,60,
197,VSMani,Food and Beverage,Bangalore,Karnataka,60,4000,1,1,19,
198,Sepal,Manufacturing,Hyderabad,Telangana,50,5000,1,1,50,
199,Solinas,Business Services,Chennai,Tamil Nadu,90,4500,1,1,90,
200,AvimeeHerbal,Beauty/Fashion,Surat,Gujarat,280,56000,1,0,,
201,eyenic,Beauty/Fashion,Delhi,Delhi,75,1250,0,,,
202,ekatra,Lifestyle/Home,Kota,Rajasthan,40,400,1,1,20,
203,Raasa,Food and Beverage,Delhi,Delhi,50,1000,1,1,50,
204,NeoMotion,Manufacturing,Chennai,Tamil Nadu,100,10000,1,1,100,
205,licksters,Food and Beverage,Nagpur,Maharashtra,50,1000,1,1,25,
206,Sayonara,Beauty/Fashion,Kolkata,West Bengal,100,10000,0,,,
207,PMV,Vehicles/Electrical Vehicles,Mumbai,Maharashtra,100,10000,1,0,,
208,SpiceStory,Food and Beverage,Mumbai,Maharashtra,70,3500,1,1,70,
209,Bullspree,Technology/Software,Ahmedabad,Gujarat,75,5000,1,1,75,
210,Snitch,Beauty/Fashion,Bangalore,Karnataka,150,30000,1,1,150,
211,Portl,Business Services,Hyderabad,Telangana,150,15000,1,1,150,
212,FatToSlim,Beauty/Fashion,Bangalore,Karnataka,20,2000,0,,,
213,CheeseCake&Co.,Food and Beverage,Delhi,Delhi,100,5000,1,0,,
214,Dabble,Manufacturing,Bangalore,Karnataka,50,500,1,1,15,
215,CloudTailor,Business Services,"Bangalore,Hyderabad","Karnataka,Telangana",100,7142.857143,0,,,
216,BeUnic,Business Services,Noida,Uttar Pradesh,100,1000,1,0,,
217,Broomees,Business Services,Delhi,Delhi,80,4000,1,1,100,
218,Ravel,Beauty/Fashion,Amaravati,Maharashtra,75,3000,1,1,75,
219,HoneyVeda,Food and Beverage,Ahmedabad,Gujarat,75,1000,1,1,50,
220,PadCare,Manufacturing,Pune,Maharashtra,50,2500,1,1,100,
221,SwadeshiBlessings,Lifestyle/Home,Udaipur,Rajasthan,50,1000,1,1,25,
222,OLL,Technology/Software,Mumbai,Maharashtra,30,1500,1,1,30,
223,Febris,Medical/Health,Ferozepur,Punjab,100,4000,0,,,
224,Geeani,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,75,1000,1,1,100,
225,Amore,Food and Beverage,"Hyderabad,Mumbai","Telangana,Maharashtra",75,1875,1,1,75,
226,LeafyAffair,Beauty/Fashion,Bangalore,Karnataka,50,2000,0,,,
227,ScrapUncle,Green/CleanTech,Delhi,Delhi,60,2000,1,1,60,
228,SharmaJiKiAata,Food and Beverage,Pune,Maharashtra,40,400,1,1,40,
